"STANOX","TIPLOC","CRS","Description","dataSource","stop_lon","stop_lat","easting","northing"
"","9100ABRCYNN","","Abercynon North Rail Station","NAPTAN","-3.32680325647","51.64531320611","308293","194891"
"","9100AVIGVIL","","Avignon Central Rail Station","NAPTAN","1.39427359026","51.07399826344","637868","135999"
"","9100BORGSTM","","Bourg Saint Maurice Rail Station","NAPTAN","1.39441607446","51.07399412193","637878","135999"
"","9100BRBCNLT","","Barbican Rail Station","NAPTAN","-0.09744109792","51.51968171888","532098","181800"
"","9100BRUXMID","","Bruxelles Midi Rail Station","NAPTAN","1.39398862175","51.07400654594","637848","135999"
"","9100CATEZKX","","Kings Cross Underground Station","NAPTAN","-0.12396034402","51.53027041196","530228","182930"
"","9100CATZ007","","Wirksworth Rail Station","NAPTAN","-1.5686620326","53.08263917894","428990","354020"
"","9100CATZ008","","Idridgehay Rail Station","NAPTAN","-1.56932130445","53.03598790845","428977","348830"
"","9100CUSTMHS","","Custom House Rail Station","NAPTAN","0.02695456467","51.50995409689","540758","180950"
"","9100DERKER","","Derker Rail Station (closed)","NAPTAN","-2.10168807623","53.5501406963","393360","405948"
"","9100EBWVTCR","","Ebbw Vale Town Centre","NAPTAN","-3.20683592923","51.77985421373","316841","209710"
"","9100ENFCOAK","","Oakwood Station","NAPTAN","-0.13218237487","51.64772560656","529324","195977"
"","9100ETRURIA","","Etruria Rail Station","NAPTAN","-2.20189221599","53.01983004336","386554","346965"
"","9100FALSWTH","","Failsworth Rail Station (closed)","NAPTAN","-2.16331024455","53.51038864365","389267","401533"
"","9100FNTLSR","","Farringdon (London) Rail Station","NAPTAN","-0.10505494712","51.52029956265","531568","181855"
"","9100GRSTM","","Garston (Merseyside) Rail Station","NAPTAN","-2.89392965494","53.35672841716","340600","384798"
"","9100HOLINWD","","Hollinwood Rail Station (closed)","NAPTAN","-2.14668183465","53.52012668791","390372","402614"
"","9100HORD","","Horden Peterlee Station","NAPTAN","-1.30734290693","54.76388169882","444668","541213"
"","9100HTRWTM1","","Heathrow T1 Rail-Air Link","NAPTAN","-0.45142337783","51.47312977743","507650","176044"
"","9100HTRWTM2","","Heathrow T2 Rail-Air Link","NAPTAN","-0.45184932888","51.47032982304","507627","175732"
"","9100HTRWTM3","","Heathrow T3 Rail-Air Link","NAPTAN","-0.45764881261","51.47212376294","507220","175923"
"","9100KNSXMCL","","London Kings Cross Thameslink Rail Station","NAPTAN","-0.12033984927","51.53066207884","530478","182980"
"","9100KXTLSR","","Kings Cross Thameslink Rail Station","NAPTAN","-0.12032544121","51.53066184797","530479","182980"
"","9100LLHLABY","","Abertillery High Street","NAPTAN","-3.13528318702","51.7301249396","321691","204100"
"","9100MARNELV","","Marne-la-Vall̩e Rail Station","NAPTAN","1.39413110602","51.07400240478","637858","135999"
"","9100MILNROW","","Milnrow Rail Station (closed)","NAPTAN","-2.1115003362","53.60810640221","392720","412398"
"","9100MNCRDLN","","Dean Lane Rail Station (closed)","NAPTAN","-2.18464961272","53.50411059995","387850","400838"
"","9100NHEY","","New Hey Rail Station (closed)","NAPTAN","-2.09538848345","53.60108256334","393785","411615"
"","9100NWOLWCH","","North Woolwich Rail Station","NAPTAN","0.06277989677","51.49907767651","543278","179810"
"","9100OLDHAMW","","Oldham Werneth Rail Station (closed)","NAPTAN","-2.12927321877","53.53869880483","391530","404678"
"","9100PARISND","","Paris Nord Rail Station","NAPTAN","1.39384613745","51.07401068693","637838","135999"
"","9100SHCRPTN","","Shaw & Crompton Rail Station (closed)","NAPTAN","-2.08957966227","53.57680973813","394166","408914"
"","9100SLVRTWN","","Silvertown & City Airport Rail Station","NAPTAN","0.04590856441","51.5019811406","542098","180100"
"","9100STFDLL","","Stratford Low Level Rail Station","NAPTAN","-0.00339039833","51.5410496534","538558","184350"
"","9100STFORDI","","Stratford International Rail Station","NAPTAN","-0.0089937391","51.54483186467","538158","184760"
"","9100STPANCI","","St Pancras International Rail Station","NAPTAN","-0.12689528175","51.53252946779","530018","183176"
"","9100WHAM","","West Ham Rail Station","NAPTAN","0.00437929318","51.52751810475","539138","182860"
"","9100WKNTNTH","","Workington North Temporary Rail Station","NAPTAN","-3.55653625802","54.65898862678","299687","530434"
"","9100ZZTYSGY","","Slaggyford Rail Station","NAPTAN","-2.50674655008","54.86549243181","367573","552418"
"","ALDRS15","","ALDERSHOT SIGNAL AS15","openRailData","-0.755900405724649","51.24752382029856","486929","150552"
"","ANGELRD","AGR","Angel Road Rail Station","NAPTAN","-0.0487913406","51.61240492759","535198","192200"
"","ANSL3","","ANNIESLAND","ATOC","-4.321631468068536","55.88950187707724","254900","668700"
"","APPLADV","","APPLEFORD (ADVENZA)","openRailData","-1.2433677387473763","51.63344656945683","452463","193008"
"","AVONADV","","AVONMOUTH (ADVENZA)","openRailData","-2.6953118141290138","51.51578579380797","351849","179881"
"","BDNHABD","","Brandon Hot Axle Box Detector","railmap","-1.4426689","52.3855368","438029","276534"
"","BLOX103","","BLOXWICH SIGNAL 103","openRailData","-2.0230645485551917","52.64221565718591","398536","304940"
"","BRHLFF","","BARROW HILL (FF)","openRailData","-1.3851355063202808","53.272103294192625","441102","375187"
"","BRSS533","","BRISTOL TM SIG 533","openRailData","-2.580992558804254","51.445104728268554","359719","171951"
"","CALVADV","","CALVERT (ADVENZA)","openRailData","-0.9947840751638157","51.911631832297395","469241","224154"
"","CATEZWY","","WEMBLEY PARK UND","ATOC","-0.2788099225846113","51.56384857815498","519400","186400"
"","CATZANM","ANM","ANTRIM NI","UK2GTFS","-6.21165","54.71809","128871","544042"
"","CATZATM","ATM","ATTYMON     (CIE","UK2GTFS","-8.60648","53.32125","-39786","400926"
"","CATZATO","ATO","ATHLONE     (CIE","UK2GTFS","-7.91693","53.41289","7000","406999"
"","CATZATR","ATR","ATHENRY     (CIE","UK2GTFS","-8.74895","53.3014","-49466","399611"
"","CATZATY","ATY","ATHY        (CIE","UK2GTFS","-6.9769","52.99248","66145","355501"
"","CATZBAO","BAO","BALLYMOTE   (CIE","UK2GTFS","-8.52087","54.0881","-26249","485550"
"","CATZBAX","BAX","BALLINA     (CIE","UK2GTFS","-9.16079","54.10904","-67777","491932"
"","CATZBBY","BBY","BALLYBROPHY (CIE","UK2GTFS","-7.60346","52.89968","23330","348298"
"","CATZBHN","BHN","BALLYHAUNIS (CIE","UK2GTFS","-8.75832","53.76155","-45221","450758"
"","CATZBIH","BIH","BIRDHILL    (CIE","UK2GTFS","-8.44209","52.76586","-34421","338250"
"","CATZBMA","BMA","BALLYMENA NI","UK2GTFS","-6.28487","54.8643","125153","560583"
"","CATZBNU","BNU","BANTEER     (CIE","UK2GTFS","-8.899","52.12885","-71977","270393"
"","CATZBOQ","BOQ","BOYLE       (CIE","UK2GTFS","-8.30459","53.96752","-13327","470874"
"","CATZBPO","","BRIDPORT BUS X51","ATOC","-2.7622956241728835","50.73410848004815","346300","93000"
"","CATZBSG","BSG","BALLINASLOE (CIE","UK2GTFS","-8.24026","53.33629","-15289","400398"
"","CATZBWY","BWY","BROADWAY","UK2GTFS","-1.86292","52.03583","409500","237499"
"","CATZCAH","CAH","CAHIR       (CIE","UK2GTFS","-7.87793","52.36155","2","289999"
"","CATZCAW","CAW","CARLOW CIE","UK2GTFS","-6.92238","52.84112","68645","338427"
"","CATZCCN","CCN","CASTLECONNI (CIE","UK2GTFS","-8.49782","52.71311","-38705","332731"
"","CATZCCR","CCR","CIRENCESTER","UK2GTFS","-1.96666","51.71672","402399","201999"
"","CATZCEI","CEI","COLERAINE NI","UK2GTFS","-6.66321","55.1341","102897","592126"
"","CATZCHJ","CHJ","CHARLEVILLE (CIE","UK2GTFS","-8.65342","52.3472","-52960","293064"
"","CATZCKA","CKA","CARRICK-ON-SHANNON (CIE)","UK2GTFS","-8.0963","53.92604","-1","465000"
"","CATZCLB","CLB","CASTLEBAR   (CIE","UK2GTFS","-9.28793","53.84725","-79073","463730"
"","CATZCLQ","CLQ","CLARA       (CIE","UK2GTFS","-7.57348","53.32146","29000","395000"
"","CATZCLZ","CLZ","CLOUGHJORDN (CIE","UK2GTFS","-8.0241","52.93654","-4668","354759"
"","CATZCMI","CMI","CLAREMORRIS (CIE","UK2GTFS","-9.0024","53.7207","-61725","447786"
"","CATZCOQ","COQ","COBH        (CIE","UK2GTFS","-8.30037","51.84888","-33771","235563"
